Prompt Id;ChatGPT Anzahl Zeichen;ChatGPT responsetime in Sekunden;ChatGPT Responsegeschwindigkeit in Zeichen/Sekunden;Gemini Anzahl Zeichen;Gemini responsetime in seconds;Gemini Responsegeschwindigkeit in Zeichen/Sekunden
40;1574;7.962585210800171;197.67449368894435;1906;8.586662769317627;221.97215043900783
18;942;6.135840177536011;153.52420740174526;1451;6.132135629653931;236.62229403133534
24;970;9.313054084777832;104.15487671068753;613;4.797211170196533;127.78257580328416
17;328;3.2721471786499023;100.23998985746533;4;1.1170053482055664;3.5810034449932338
14;336;1.84022855758667;182.58601553311416;1453;5.273038625717163;275.5526942119419
12;68;1.4699132442474365;46.26123362458341;13;1.1078007221221924;11.734962561764856
6;23;1.13527250289917;20.259453075155438;8;1.1169018745422363;7.162670403144243
11;37;0.7293455600738525;50.73041096768099;2;1.0459868907928467;1.9120698525045776
16;321;3.4308505058288574;93.5628059149286;530;2.7535507678985596;192.47874641675216
37;2025;8.483738422393799;238.69194206351065;1937;7.853312253952026;246.6475211176332
39;1505;7.423400163650513;202.73728572108996;2689;10.012379884719849;268.56751651061023
23;320;2.1309428215026855;150.16827142003947;360;2.5519330501556396;141.06953157648238
15;140;1.0147147178649902;137.96981312596597;572;3.37357759475708;169.55294014548605
4;4;0.506906270980835;7.891005160106278;4;1.0558719635009766;3.7883381113152366
9;195;1.186537742614746;164.34369763096026;69;1.422884225845337;48.49305287575806
38;2096;11.250797033309937;186.2979123874005;3256;11.152921438217163;291.94144494220376
34;1803;11.265588521957397;160.04490102632727;3046;10.332786083221436;294.7898055245864
5;422;4.400975227355957;95.88783808118174;258;1.9363856315612793;133.2379231671836
36;2118;15.117571830749512;140.10186448672505;2507;8.427420377731323;297.48130360561044
20;756;4.492543458938599;168.27883957267525;1730;6.646894931793213;260.2719040623194
