Prompt Id;ChatGPT Anzahl Zeichen;ChatGPT responsetime in Sekunden;ChatGPT Responsegeschwindigkeit in Zeichen/Sekunden;Gemini Anzahl Zeichen;Gemini responsetime in seconds;Gemini Responsegeschwindigkeit in Zeichen/Sekunden
3;2;1.183833360671997;1.6894269636604176;2;2.013483762741089;0.9933032672075127
4;27;0.8180012702941895;33.007283705427014;4;1.0740466117858887;3.7242331534838455
11;33;0.8693094253540039;37.96116668879047;2;1.2205727100372314;1.6385750587025607
9;92;1.2325592041015625;74.64144496576996;22;1.2188966274261475;18.049110568511253
38;1897;8.111872911453247;233.8547485527792;3475;12.366016387939453;281.012081092595
18;996;7.680784463882446;129.67425458734286;1065;5.630047798156738;189.16358052034266
39;1685;11.571479320526123;145.61664531613127;2362;8.703997611999512;271.3695597461674
7;92;1.4258003234863281;64.52516420745656;21;1.2229371070861816;17.17177431146515
31;969;4.098259449005127;236.44183879945172;2021;7.786228895187378;259.56082555563813
8;150;2.036381721496582;73.6600601039385;12;1.2276661396026611;9.774644435403134
16;327;1.8390460014343262;177.8095815683583;604;3.1729323863983154;190.36018623946077
13;588;2.7680530548095703;212.423674097696;2100;7.098724365234375;295.827798341437
24;665;7.838036298751831;84.84267929530998;2301;14.223044633865356;161.77970745597412
35;2109;9.520785570144653;221.51533447128745;3356;11.04394268989563;303.876984355459
6;59;1.6438572406768799;35.89119452715126;8;1.758756399154663;4.548668595517354
5;55;0.7776241302490234;70.72825785689933;431;2.757537603378296;156.29886586930897
33;2253;10.65494990348816;211.45101764039504;3824;14.037641525268555;272.4104325585307
34;1446;9.181897640228271;157.4837856680845;2592;9.409477233886719;275.46695056185786
1;38;1.2275469303131104;30.956046617547518;8;1.118591547012329;7.151850933763425
29;1948;9.823371887207031;198.30258106555843;2504;8.589149236679077;291.5306197390221
