Prompt Id;ChatGPT Anzahl Zeichen;ChatGPT responsetime in Sekunden;ChatGPT Responsegeschwindigkeit in Zeichen/Sekunden;Gemini Anzahl Zeichen;Gemini responsetime in seconds;Gemini Responsegeschwindigkeit in Zeichen/Sekunden
9;318;2.6742405891418457;118.91226290228624;146;2.6586756706237793;54.91455825664717
19;449;5.813945531845093;77.22810568841139;1519;7.15364670753479;212.33925326506107
5;55;1.5213558673858643;36.15196232457179;345;2.336221218109131;147.67437147036654
22;211;1.9400529861450195;108.7599160986151;15;1.1884574890136719;12.621402228235226
24;1256;11.684765338897705;107.49039142607943;1212;8.698162078857422;139.33978109536523
32;3249;12.258242845535278;265.0461441285084;4128;14.138202428817749;291.97488300110496
40;1353;13.505873918533325;100.17863399001206;2432;10.14897108078003;239.63020296763733
29;1857;13.79318904876709;134.63166447109552;2295;8.377674102783203;273.94238207924116
14;211;3.159404993057251;66.78472701779911;1353;5.4191718101501465;249.66914639351748
13;500;3.3731579780578613;148.22904923293316;2020;7.167957782745361;281.8096954843295
16;471;4.298278570175171;109.57875165843544;645;3.0419423580169678;212.0355759865461
33;2261;13.604009628295898;166.20099968888536;3110;11.675002813339233;266.38109212673425
35;2226;8.790129899978638;253.2385784202586;2920;9.92611050605774;294.17363409544686
17;199;3.263641357421875;60.97483706273435;4;1.044801950454712;3.8284767732862157
7;43;0.8782241344451904;48.96244399747091;21;1.2152612209320068;17.28023542452437
6;59;1.2295312881469727;47.98576544474841;8;1.0568125247955322;7.569932994073672
36;3007;16.926288843154907;177.6526460031461;3095;10.238587856292725;302.2877806432834
38;1753;8.69431757926941;201.6259452242491;2407;9.00124979019165;267.4073107739799
15;409;5.1986470222473145;78.67431626915767;1303;5.618464708328247;231.9138888722686
28;685;6.859132289886475;99.8668593999865;1278;6.795280456542969;188.07170773495488
