Fragen;ChatGPT Anzahl Zeichen;ChatGPT responsetime in Sekunden;ChatGPT Responsegeschwindigkeit in Zeichen/Sekunden;Gemini Anzahl Zeichen;Gemini responsetime in seconds;Gemini Responsegeschwindigkeit in Zeichen/Sekunden
Wie ist die Entstehungsgeschichte von IKEA? ;649;3.5996623039245605;180.29469022480876;1866;8.105450630187988;230.2154544067246
Mache ein Vorschlag für ein Geschenk. ;265;1.8655624389648438;142.0483144734851;1427;5.36029577255249;266.21665306362087
Wie kann ich mit GitHub Workflow alte Artifacts wieder löschen? Schreibe ein YAML Skript und erkläre es ausführlich.;2256;15.658434629440308;144.07570446143876;1852;8.051228523254395;230.0270070152476
Wann geht die Sonne heute in Brandenburg unter?;55;1.1471590995788574;47.944526631215744;342;1.978130578994751;172.89050764980237
Was ist früh am Morgen für eine Uhrzeit?;153;1.5056684017181396;101.61599979478186;284;2.1085357666015625;134.69062488692694
Was ist das größte Land der Welt?;8;0.3654356002807617;21.89168212909102;8;1.1256518363952637;7.106993247236052
"Erkläre diesen Python-Code und schreibe ihn in Java: 
import numpy as np
a = np.arange(15).reshape(3, 5)
print(a)";588;3.829167604446411;153.55817784450522;1584;8.194681406021118;193.29610530509964
Schreibe mir eine ausführliche Hausarbeit über die Folgen des Faschismus in Italien nach Mussolinis Tot.;2998;12.693419456481934;236.18537229296888;4731;14.742199659347534;320.91547457778677
Wie alt ist die Erde?;43;1.2494587898254395;34.414900555469686;21;1.1238064765930176;18.68649134650349
Schreibe eine politische Rede zum Mauerfall!;1607;9.674439191818237;166.10781959940942;2675;8.857996463775635;301.98702505011016
Wieso feiern wir Oster?;360;2.5863215923309326;139.19382688815142;535;2.6745765209198;200.03166700050554
Schreibe mir bitte eine ausführliche Gedichtanalyse über den Osterspaziergang vom Goethe.;1649;8.77771544456482;187.86209354975895;2068;7.7670605182647705;266.2525926168539
39+21;2;1.1447374820709229;1.7471254600503148;2;1.1408889293670654;1.7530190262338212
Schreibe mit bitte einen Aufsatz über die Funktion der Enigma.;1648;10.607330560684204;155.3642540478817;3286;10.4642813205719;314.02060966575885
Ich muss ein wissenschaftliches Paper für die Uni zum Vergleich zweier LLMs schreiben. Wie gehe ich dafür am besten vor und schreibe mir solch ein Paper bespielhaft.;1753;7.028169393539429;249.42483623280722;3820;13.652796030044556;279.7961671436128
Was ist der Unterschied zwischen einem Thermometer und einem Thermostat?;537;2.5157976150512695;213.4511920940256;1314;4.890620708465576;268.6775520590852
Welche Pflanze ist die beliebteste Pflanze in Europa?;326;2.26601243019104;143.86505372016694;4;1.0052070617675781;3.979279645097511
Woher kommt unser heutiges Zahlensystem?;549;3.7431466579437256;146.66804434042393;1578;6.177853107452393;255.4285400694371
Womit verbringen Menschen die meiste Zeit? Schreibe mir dazu eine ausführliche Diskussion von zwei unterschiedlichen Meinungen.;1484;9.424849271774292;157.45609900036385;2522;7.949827671051025;317.2395810771799
Welche Farbe hat ein Gras?;4;0.8834857940673828;4.527520450085384;4;1.0200443267822266;3.9213982127798026
